ancre_textuelle,commentaire,gravite,categorie
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Critères d’acceptation. Unicité et cohérence stricte de chaque champ d’identité dans tous les supports. Aucune mention étrangère à ce projet.'.,P2,coherence
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Exemples.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P1 : « Commune Y » citée p.2 alors que la commune officielle est X partout ailleurs (preuve: « …Commune Y… »).'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P2 : dates de campagne terrain 2023/2024 incohérentes entre texte et tableau (preuve: « …11/06/2025… » vs « 2024 »).'.,P2,coherence
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Suggestion type. Harmoniser champ par champ ; supprimer reliquats ; corriger en-têtes et légendes.'.,P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: '2. Périmètre spatial et temporel du diagnostic'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'But. Assurer un cadrage valide du quoi, où, quand.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'À vérifier. Définition des zones d’étude (immédiate/rapprochée/élargie), cohérence des dates d’observations, périodes phénologiques, limites cartographiques, correspondance texte ↔ cartes ↔ annexes.'.",P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Critères. Limites décrites et cartographiées, dates compatibles avec les groupes taxonomiques ciblés, contexte biogéographique explicite.'.",P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Exemples.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P1 : diagnostic fondé sur visites hors fenêtres phénologiques clés sans justification.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P2 : zone d’étude élargie citée au texte mais absente des cartes.'.,P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Suggestion. Clarifier périmètres, préciser calendrier utile, justifier exceptions (météo, accès).'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: '3. Cohérence interne texte ↔ tableaux ↔ cartes ↔ annexes'.,P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'But. Éliminer les divergences d’information.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'À vérifier. Noms d’espèces, statuts, codes, superficies, effectifs, dates, localisations, légendes, identiques partout.'.",P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Procédure. Pour chaque donnée structurée, retrouver l’équivalent dans les autres supports ; signaler toute discordance.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Critères. Zéro divergence significative.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Exemples.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P1 : espèce notée « nicheuse » dans le texte mais absente du tableau de synthèse.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'P2 : surface d’habitat 3,2 ha au texte vs 3,8 ha en carte.'.",P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Suggestion. Harmoniser la valeur référence et répercuter partout.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: '4. Méthodologie et effort d’inventaire'.,P2,methodologie
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'But. Vérifier la conformité et la robustesse de l’effort.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'À vérifier. Protocoles mobilisés (références nationales/régionales), adaptations et justifications, nombre de passages, durées, mailles/points/transects/quadrats, horaires et conditions (météo, débit, etc.) selon groupes ciblés (flore, habitats, chiroptères, avifaune, herpéto, odonates…).'.",P2,methodologie
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Critères. Adéquation protocole ↔ enjeu présumé ↔ période ; traçabilité des adaptations ; justification des absences.'.,P2,methodologie
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Exemples.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'P1 : absence de prospection crépusculaire pour chiroptères en période active, non justifiée.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P2 : un seul passage flore en fin d’été alors qu’espèces printanières attendues.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Suggestion. Documenter les choix, compléter si nécessaire, expliciter limites.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: '5. Données bibliographiques et périmètres réglementaires (actualité et pertinence)'.,P2,reglementaire
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'But. S’assurer que les sources et périmètres sont à jour et correctement interprétés.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'À vérifier. SINP/INPN/MNHN, ZNIEFF, Natura 2000 (ZSC/ZPS), APPB, ENS, PNA, listes rouges nationales/régionales, études antérieures ; millésimes et versions ; intégration analytique (pas un inventaire brut).'.",P2,reglementaire
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Critères. Millésimes récents ; cohérence spatiale ; citations complètes ; interprétation contextualisée.'.,P2,coherence
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Exemples.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P1 : statut Liste rouge périmé (2012) utilisé alors qu’une version 2020 existe.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P2 : périmètre Natura 2000 invoqué sans vérifier la dernière révision carto.'.,P2,reglementaire
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Suggestion. Mettre à jour sources, préciser versions et dates d’extraction, intégrer une lecture critique (pertinence pour le site).'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: '6. Listes flore/faune/habitats : exhaustivité et nomenclatures'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'But. Garantir l’exactitude taxonomique et typologique.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'À vérifier. Exhaustivité plausible au regard des milieux ; conformité TaxRef (espèces), EUNIS/Corine biotopes (habitats) ; correspondances explicites si nécessaires ; statuts de présence (avéré/probable/possible/absent) argumentés.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Critères. Noms à jour, auteurs et rangs corrects si exigés ; codes d’habitats valides ; justification des absences attendues.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Exemples.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P1 : code d’habitat obsolète non relié à un équivalent EUNIS actuel.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P2 : espèce citée sous synonyme périmé sans renvoi TaxRef.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Suggestion. Normaliser nomenclatures, ajouter table de correspondance, motiver les absences.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: '7. Enjeux et statuts : identification et hiérarchisation'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'But. Objectiver l’importance locale des enjeux.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'À vérifier. Statuts de protection (nationaux, régionaux), listes rouges, annexes directives, ZNIEFF, responsabilité biogéographique ; hiérarchisation claire (critères, seuils, pondérations), lien aux données terrain/biblio.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Critères. Traçabilité des sources, barème explicite, justification non subjective.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Exemples.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P1 : espèce protégée non signalée comme enjeu majeur malgré présence avérée et effectifs significatifs.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P2 : hiérarchisation en 3 niveaux sans critères ni seuils.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Suggestion. Poser une grille explicite (critères/poids), recalculer la hiérarchie, sourcer chaque statut.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: '8. Analyse fonctionnelle et connectivité'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'But. Passer d’un inventaire descriptif à une lecture opérationnelle.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'À vérifier. Fonctions écologiques (reproduction, alimentation, repos, déplacement), saisonnalité, continuités/fragmentations, corridors/barrières, articulation avec l’environnement proche (amont/aval, mosaïque d’habitats, trames).'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Critères. Fonctions spatialisées et datées ; cohérence avec biologie des espèces/habitats ; évitement des affirmations théoriques non démontrées.'.,P2,coherence
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Exemples.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'P1 : corridor supposé sans éléments tangibles de support (carto, observations, contexte paysager).'.",P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P2 : fonctionnalité « reproduction » invoquée hors période biologique plausible.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Suggestion. Appuyer les fonctions sur données et carto ; qualifier incertitudes ; préciser implications pour les phases projet.'.,P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: '9. Cartographie : lisibilité, précision, conformité'.",P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'But. Assurer que les cartes étayent le diagnostic.'.,P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'À vérifier. Légendes complètes (échelle graphique, nord, sources, date, auteur), symbologie cohérente inter-cartes, précision des localisations (espèces, habitats, fonctionnalités), justification des limites (ZE/AE), qualité des fonds.'.",P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Critères. Lecture immédiate sans ambiguïté ; concordance texte ↔ cartes ; métadonnées présentes.'.,P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Exemples.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P1 : absence d’échelle graphique et de sources sur la carte d’enjeux.'.,P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P2 : symboles d’espèces confondants entre cartes (codes changeants).'.,P3,carto
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Suggestion. Normaliser palettes et symboles, compléter métadonnées, corriger emprises.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: '10. Terminologie et qualité rédactionnelle'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'But. Éliminer les confusions sémantiques et les imprécisions.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'À vérifier. Distinction stricte « habitat d’espèce » vs « habitat naturel », usage correct des termes réglementaires, phrases non ambiguës, orthographe/grammaire, cohérence des abréviations et des unités.'.",P2,reglementaire
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Critères. Terminologie constante, style sobre et factuel, aucune ambiguïté modifiant le sens.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Exemples.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P2 : « corridor écologique » employé pour une simple contiguïté d’habitats sans fonctionnalité démontrée.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'P3 : unités mixtes (m² / ha) dans un même tableau sans conversion ni note.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Suggestion. Harmoniser lexique et unités, réécrire les phrases floues, ajouter un glossaire si utile.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: '11. Synthèse exécutive et traçabilité'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'But. Délivrer une vision claire des risques et des corrections prioritaires.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'À produire.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Top-5 P1 : intitulé, localisation, cause racine, action minimale, section impactée.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Feuille de route : ordre de traitement, dépendances éventuelles, effort estimatif.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Journal de contrôle : liste des points passés avec date et statut (« terminé » / « NA » motivé).'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Critères. Lisibilité rapide pour décision ; traçabilité des arbitrages.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Annexes — Modèles et rappels opérationnels'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'A. Modèle de ligne d’anomalie (à répliquer)'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'Localisation | Description du problème (catégorie: coherence/methodologie/reglementaire/carto/redaction; gravité: P1/P2/P3; preuve: ""extrait exact"") | Suggestion d’amélioration (action concrète, champ(s) à corriger, source à citer)'.",P2,methodologie
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'B. Barème de gravité (synthèse)'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'P1 : contrainte réglementaire non respectée, méthodologie clé absente, donnée critique incohérente, statut obsolète avec impact décisionnel, carte non conforme empêchant l’interprétation.'.",P2,methodologie
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'P2 : fragilisation argumentative, justification incomplète, divergences chiffrées non bloquantes, imprécisions spatiales ou temporelles modérées.'.",P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,"Vérifier couverture de la checklist: 'P3 : style, terminologie, abréviations, micro-cohérences éditoriales.'.",P2,coherence
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'C. Exemples « avant / après » (indicatifs)'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Avant : « Les chiroptères sont présents. »'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Avant : « Zone humide probable. »'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Rappel de production pour l’agent IA (diagnostic)'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Appliquer strictement l’ordre 1→11 ; ne passer au point suivant qu’après bouclage intégral du point courant.'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Pour chaque anomalie : produire une ligne au format standard (tableau 3 colonnes).'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'En fin de contrôle : générer la synthèse exécutive (Top-5 P1 + feuille de route).'.,P3,redaction
PROTOCOLE MÉTHODOLOGIQUE DE L’ÉTUDE,Vérifier couverture de la checklist: 'Préparer les éléments nécessaires au pipeline afin que le seul livrable final soit le fichier Word annoté (suivi des modifs + commentaires) dans output/.'.,P3,redaction
Figure Localisation de l,Référence à une carte/figure sans numéro.,P3,carto
Les conditions météorolog,Paragraphe très long: envisager de le scinder.,P3,redaction
